uid,plant_name,city,country,region,sub_region,latitude,longitude,status,plant_type,capacity_p,capacity_1,capacity_n,capacity_s,fuel,certificat,owner_perm,owner_name,owner_lei,owner_sour,parent_per,parent_nam
GPPMPAK0001,"Flying Kraft Paper Mills Ltd, A company of Flying Group of Companies",Charsadda,Pakistan,Asia,South Asia,34.168181400000002,71.750385499999993,Operating,Pulp and paper,"66,000","36,500", ,https://paper-production-in-pakistan.blogspot.com/2010/11/paper-mills-in-pakistan.html ,No information,No information,No information,Flying Kraft Paper Mills Ltd,No information,http://www.flyingpaper.com.pk/,No information,Flying Group of Companies
GPPMPAK0002,Firdaus Board Mills (Pvt) Ltd,Gujranwala,Pakistan,Asia,South Asia,32.136785900000000,74.193264799999994,Operating,Paper,N/A,No information, ,No information,No information,No information,No information,Firdaus Board Mills (Pvt) Ltd,No information, ,No information,No information
GPPMPAK0003,Sultan Paper Board Mills (Pvt) Ltd,Gujranwala,Pakistan,Asia,South Asia,32.075740799999998,74.196975300000005,Operating,Paper,N/A,No information, ,No information,No information,No information,No information,Sultan Paper Board Mills (Pvt) Ltd,No information, ,No information,No information
GPPMPAK0004,Jubilee Paper Board Mills Limited,Kamoke,Pakistan,Asia,South Asia,31.989488099999999,74.219552600000000,Operating,Pulp and paper and packaging,"10,000","15,000", ,https://paper-production-in-pakistan.blogspot.com/2010/11/paper-mills-in-pakistan.html,No information,No information,4295885808,Century Paper & Board Mills Ltd,No information, ,4295885808,Jubilee Paper Board Mills Limited
GPPMPAK0005,Bulleh Shah Packaging Pvt. Limited,Kasur,Pakistan,Asia,South Asia,31.214550899999999,74.118824599999996,Operating,Paper and packaging,N/A,"265,000", ,https://www.pacra.com/summary_report/RR_2394_10370_05-Sep-22.pdf,No information,No information,5039952948,Bulleh Shah Packaging (Pvt.) Ltd,No information,http://www.bullehshah.com.pk/,5039952948,Bulleh Shah Packaging Pvt. Limited
GPPMPAK0006,Century Paper & Board Mills Limited,Kasur,Pakistan,Asia,South Asia,31.206234429999999,73.963641870000004,Operating,Paper and packaging,N/A,"230,000", ,"https://centurypaper.com.pk/operations.html#:~:text=Century%20Paper%20%26%20Board%20Mills%20Limited&text=Century%20is%20a%20leading%20manufacturer,Tons%20per%20annum.",No information,No information,No information,Century Paper & Board Mills Limited,No information,http://www.centurypaper.com.pk/,No information,"Faruki Pulp Mills Ltd, Sargodha Mill"
GPPMPAK0007,Al-Quresh Board Mills Ltd,Lahore,Pakistan,Asia,South Asia,31.447020139999999,74.322214369999998,Operating,Paper and packaging,N/A,"20,000", ,https://alquraish-group.com/companies.php,No information,No information,No information,Al-Quresh Board Mills Ltd,No information, ,No information,Orient Straw Board & Paper Mills Ltd
GPPMPAK0008,Alkaram Paper Mills Pvt. Ltd,Lahore,Pakistan,Asia,South Asia,31.364063399999999,74.183130000000006,Operating,Paper,N/A,"24,000", ,https://alkarampaper.com/about-akpm/,No information,No information,No information,Alkaram Paper Mills Pvt. Ltd,No information, ,No information,No information
GPPMPAK0009,Empire paper and board Mill,Lahore,Pakistan,Asia,South Asia,31.628670499999998,74.187572979999999,Operating,Paper and packaging,N/A,"24,000", ,https://www.studocu.com/row/document/national-university-of-computer-and-emerging-sciences/marketing-management/how-paper-is-made/33052680,No information,No information,No information,Empire paper and board Mill,No information, ,No information,No information
GPPMPAK0010,Malik Board and Paper Industries (Pvt) Ltd,Lahore,Pakistan,Asia,South Asia,31.487164799999999,74.347070599999995,Operating,Paper and packaging,N/A,No information, , ,No information,No information,No information,Malik Board and Paper Industries (Pvt) Ltd,No information, ,No information,No information
GPPMPAK0011,Packages Ltd,Lahore,Pakistan,Asia,South Asia,31.469507940000000,74.349841089999998,Operating,Pulp and paper and packaging,"94,000","42,500", ,https://paper-production-in-pakistan.blogspot.com/2010/11/paper-mills-in-pakistan.html,No information,No information,No information,Packages Ltd,No information, ,No information,No information
GPPMPAK0012,Pioneer Board,Lahore,Pakistan,Asia,South Asia,31.396275750000001,74.145810200000000,Operating,Packaging,N/A,"30,000", ,https://www.pioneerboard.com/,No information,No information,No information,Pioneer Board,No information, ,No information,No information
GPPMPAK0013,Fazal Paper Mill,Okara,Pakistan,Asia,South Asia,30.875566790000001,73.420921469999996,Operating,Paper and packaging,N/A,"51,500", ,https://www.studocu.com/row/document/national-university-of-computer-and-emerging-sciences/marketing-management/how-paper-is-made/33052680,No information,No information,No information,Fazal Paper Mill,No information, ,No information,No information
