latitude,longitude,state,brickid
73.4830885563,30.7810876207,Punjab,BKP-528
73.480251953,30.779515569,Punjab,BKP-529
73.481077712,30.8019043499,Punjab,BKP-530
73.4826802311,30.7999236589,Punjab,BKP-531
73.4765474902,30.7965269988,Punjab,BKP-532
73.4798794023,30.7942386467,Punjab,BKP-533
73.4812636929,30.7929363993,Punjab,BKP-534
73.482557447,30.7748916092,Punjab,BKP-535
73.4822219462,30.7724347308,Punjab,BKP-536
73.4741054034,30.9323639146,Punjab,BKP-537
73.479135969,30.2208982095,Punjab,BKP-538
73.4772495069,30.2198202312,Punjab,BKP-539
73.480440665,31.1818196524,Punjab,BKP-540
73.4828549943,31.1788526454,Punjab,BKP-541
73.4818608587,31.177758697,Punjab,BKP-542
73.4828381168,31.1756671649,Punjab,BKP-543
73.4741110179,33.3019343565,Punjab,BKP-544
73.4791259877,32.5515173265,Punjab,BKP-545
73.4292621954,32.4545142477,Punjab,BKP-546
73.4268989352,32.5477144585,Punjab,BKP-547
73.426180283,32.6172440614,Punjab,BKP-548
73.4243387367,32.6840787186,Punjab,BKP-549
73.4245183997,30.5404289561,Punjab,BKP-550
73.4254374454,30.7836616395,Punjab,BKP-551
73.431697436,31.9611819516,Punjab,BKP-552
73.4277860216,31.9807483814,Punjab,BKP-553
73.4296306304,32.4201087723,Punjab,BKP-554
73.425650277,32.4266215582,Punjab,BKP-555
73.4287030518,32.5039253313,Punjab,BKP-556
73.4298399414,32.4044683221,Punjab,BKP-557
73.4329625634,32.5072780209,Punjab,BKP-558
