brickid,latitude,longitude,state,type,schools_1km,hospitals_1km,pop_1km,grids_pop,total_prod(kg_day),pm2.5(kg_day),pm10(kg_day,nox(kg_day),sox(kg_day,total_prod(kg/season),pm2.5(kg_s),pm10(kg_s),nox(kg_s),sox(kg_s)
BKP-2661,71.18317685,29.56216361,Punjab,,0,0,959,4,33210,225.828,322.137,156.087,152.766,7140150,48553.02,69259.455,33558.705,32844.69
BKP-2662,72.50628949,31.47954079,Punjab,,0,0,573,4,33210,225.828,322.137,156.087,152.766,7140150,48553.02,69259.455,33558.705,32844.69
BKP-2663,71.05076518,30.33902667,Punjab,,0,0,1580,4,33210,225.828,322.137,156.087,152.766,7140150,48553.02,69259.455,33558.705,32844.69
BKP-2664,71.06064665,31.57021268,Punjab,,0,0,5368,5,33210,225.828,322.137,156.087,152.766,7140150,48553.02,69259.455,33558.705,32844.69
BKP-2665,71.0605119,31.59298497,Punjab,,0,0,267,3,33210,225.828,322.137,156.087,152.766,7140150,48553.02,69259.455,33558.705,32844.69
BKP-2666,71.05028907,29.95399077,Punjab,,0,0,5611,5,33210,225.828,322.137,156.087,152.766,7140150,48553.02,69259.455,33558.705,32844.69
BKP-2667,71.05396236,29.72821719,Punjab,,0,0,7386,5,33210,225.828,322.137,156.087,152.766,7140150,48553.02,69259.455,33558.705,32844.69
BKP-2668,71.05643355,29.72474071,Punjab,,0,0,8825,5,33210,225.828,322.137,156.087,152.766,7140150,48553.02,69259.455,33558.705,32844.69
BKP-2669,71.02493861,31.56594568,Punjab,,0,0,3802,4,33210,225.828,322.137,156.087,152.766,7140150,48553.02,69259.455,33558.705,32844.69
BKP-267,73.32931866,33.14074659,Punjab,,0,0,3802,4,33210,225.828,322.137,156.087,152.766,7140150,48553.02,69259.455,33558.705,32844.69
BKP-2670,71.0237708,30.98141193,Punjab,,0,0,4500,4,33210,225.828,322.137,156.087,152.766,7140150,48553.02,69259.455,33558.705,32844.69
BKP-2671,71.39522417,30.18038419,Punjab,,0,0,4500,4,33210,225.828,322.137,156.087,152.766,7140150,48553.02,69259.455,33558.705,32844.69
BKP-2672,71.39755979,29.82240555,Punjab,,0,0,8404,4,33210,225.828,322.137,156.087,152.766,7140150,48553.02,69259.455,33558.705,32844.69
BKP-2673,71.39450552,30.05718025,Punjab,,0,0,8404,4,33210,225.828,322.137,156.087,152.766,7140150,48553.02,69259.455,33558.705,32844.69
BKP-2674,71.11220994,29.91821087,Punjab,,0,0,11795,4,33210,225.828,322.137,156.087,152.766,7140150,48553.02,69259.455,33558.705,32844.69
BKP-2675,71.10587682,29.91744731,Punjab,,0,0,5021,4,33210,225.828,322.137,156.087,152.766,7140150,48553.02,69259.455,33558.705,32844.69
BKP-2676,71.39252602,30.06903159,Punjab,,0,0,16825,6,33210,225.828,322.137,156.087,152.766,7140150,48553.02,69259.455,33558.705,32844.69
BKP-2677,71.38692117,30.04671701,Punjab,,0,0,16825,6,33210,225.828,322.137,156.087,152.766,7140150,48553.02,69259.455,33558.705,32844.69
BKP-2678,71.37209255,32.29618618,Punjab,,0,0,9019,4,33210,225.828,322.137,156.087,152.766,7140150,48553.02,69259.455,33558.705,32844.69
BKP-2679,71.24655299,30.14202613,Punjab,,0,0,9019,4,33210,225.828,322.137,156.087,152.766,7140150,48553.02,69259.455,33558.705,32844.69
BKP-268,73.31806804,33.23869858,Punjab,,1,0,3664,4,33210,225.828,322.137,156.087,152.766,7140150,48553.02,69259.455,33558.705,32844.69
BKP-2680,71.44756002,30.22766252,Punjab,,0,0,3664,5,33210,225.828,322.137,156.087,152.766,7140150,48553.02,69259.455,33558.705,32844.69
BKP-2681,71.44705696,29.89732504,Punjab,,0,0,3664,5,33210,225.828,322.137,156.087,152.766,7140150,48553.02,69259.455,33558.705,32844.69
BKP-2682,71.45145871,29.96883094,Punjab,,0,0,6103,4,33210,225.828,322.137,156.087,152.766,7140150,48553.02,69259.455,33558.705,32844.69
BKP-2683,71.44591645,29.91077248,Punjab,,0,0,6103,4,33210,225.828,322.137,156.087,152.766,7140150,48553.02,69259.455,33558.705,32844.69
