source_id,iso3_count,original_i,temporal_g,gas,emissions_,emission_1,emission_2,capacity_f,source_nam,lat,lon,other2,other3,other4,other5,other6,other2_def,other3_def,other4_def,other5_def,other6_def,geometry_r
"3143916",IND,oil-and-gas-refining,annual,co2e_20yr,2397564.508,0.000297083,,0.895376644,IOCL Panipat Refinery,29.47308,76.87831,1895.647755,289.7469959,0.000252277,0.01321835,60129.62223,acidification,particulate matter formation,human health cancer,human health non-cancer,ecotoxicity,trace_76.87831_29.47308
"3143916",IND,oil-and-gas-refining,annual,co2,2535458.104,30.23010146,T of CO2 per barrel refined,0.957442557,IOCL Panipat Refinery,29.47308,76.87831,2027.05068,309.8317413,0.000269764,0.014134622,64297.70049,acidification,particulate matter formation,human health cancer,human health non-cancer,ecotoxicity,trace_76.87831_29.47308
"3143916",IND,oil-and-gas-refining,annual,co2,2936805.989,30.23010146,T of CO2 per barrel refined,1.109,IOCL Panipat Refinery,29.47308,76.87831,2347.920704,358.8762568,0.000312466,0.016372049,74475.64274,acidification,particulate matter formation,human health cancer,human health non-cancer,ecotoxicity,trace_76.87831_29.47308
"3143916",IND,oil-and-gas-refining,annual,co2e_100yr,2397542.476,0.000297083,,0.895376644,IOCL Panipat Refinery,29.47308,76.87831,1895.647755,289.7469959,0.000252277,0.01321835,60129.62223,acidification,particulate matter formation,human health cancer,human health non-cancer,ecotoxicity,trace_76.87831_29.47308
"3143916",IND,oil-and-gas-refining,annual,ch4,147.4798592,0.001518088,T of CH4 per barrel refined,1.109,IOCL Panipat Refinery,29.47308,76.87831,2347.920704,358.8762568,0.000312466,0.016372049,74475.64274,acidification,particulate matter formation,human health cancer,human health non-cancer,ecotoxicity,trace_76.87831_29.47308
"3143916",IND,oil-and-gas-refining,annual,n2o,23.30167574,0.000297083,T of N2O per barrel refined,0.895376644,IOCL Panipat Refinery,29.47308,76.87831,1895.647755,289.7469959,0.000252277,0.01321835,60129.62223,acidification,particulate matter formation,human health cancer,human health non-cancer,ecotoxicity,trace_76.87831_29.47308
"3143916",IND,oil-and-gas-refining,annual,ch4,119.0712547,0.001518088,T of CH4 per barrel refined,0.895376644,IOCL Panipat Refinery,29.47308,76.87831,1895.647755,289.7469959,0.000252277,0.01321835,60129.62223,acidification,particulate matter formation,human health cancer,human health non-cancer,ecotoxicity,trace_76.87831_29.47308
"3143916",IND,oil-and-gas-refining,annual,co2,2371097.828,30.23010146,T of CO2 per barrel refined,0.895376644,IOCL Panipat Refinery,29.47308,76.87831,1895.647755,289.7469959,0.000252277,0.01321835,60129.62223,acidification,particulate matter formation,human health cancer,human health non-cancer,ecotoxicity,trace_76.87831_29.47308
"3143916",IND,oil-and-gas-refining,annual,n2o,28.86110394,0.000297083,T of N2O per barrel refined,1.109,IOCL Panipat Refinery,29.47308,76.87831,2347.920704,358.8762568,0.000312466,0.016372049,74475.64274,acidification,particulate matter formation,human health cancer,human health non-cancer,ecotoxicity,trace_76.87831_29.47308
"3143916",IND,oil-and-gas-refining,annual,co2e_100yr,2969559.932,0.000297083,,1.109,IOCL Panipat Refinery,29.47308,76.87831,2347.920704,358.8762568,0.000312466,0.016372049,74475.64274,acidification,particulate matter formation,human health cancer,human health non-cancer,ecotoxicity,trace_76.87831_29.47308
"3143916",IND,oil-and-gas-refining,annual,co2e_20yr,2969587.221,0.000297083,,1.109,IOCL Panipat Refinery,29.47308,76.87831,2347.920704,358.8762568,0.000312466,0.016372049,74475.64274,acidification,particulate matter formation,human health cancer,human health non-cancer,ecotoxicity,trace_76.87831_29.47308
"3143916",IND,oil-and-gas-refining,annual,n2o,28.86110394,0.000297083,T of N2O per barrel refined,1.109,IOCL Panipat Refinery,29.47308,76.87831,2347.920704,358.8762568,0.000312466,0.016372049,74475.64274,acidification,particulate matter formation,human health cancer,human health non-cancer,ecotoxicity,trace_76.87831_29.47308
"3143916",IND,oil-and-gas-refining,annual,co2e_20yr,2533119.487,0.000297083,,0.946,IOCL Panipat Refinery,29.47308,76.87831,2002.825055,306.1288899,0.00026654,0.013965697,63529.26783,acidification,particulate matter formation,human health cancer,human health non-cancer,ecotoxicity,trace_76.87831_29.47308
"3143916",IND,oil-and-gas-refining,annual,co2e_100yr,2533096.209,0.000297083,,0.946,IOCL Panipat Refinery,29.47308,76.87831,2002.825055,306.1288899,0.00026654,0.013965697,63529.26783,acidification,particulate matter formation,human health cancer,human health non-cancer,ecotoxicity,trace_76.87831_29.47308
"3143916",IND,oil-and-gas-refining,annual,n2o,24.61912022,0.000297083,T of N2O per barrel refined,0.946,IOCL Panipat Refinery,29.47308,76.87831,2002.825055,306.1288899,0.00026654,0.013965697,63529.26783,acidification,particulate matter formation,human health cancer,human health non-cancer,ecotoxicity,trace_76.87831_29.47308
"3143916",IND,oil-and-gas-refining,annual,ch4,125.8033786,0.001518088,T of CH4 per barrel refined,0.946,IOCL Panipat Refinery,29.47308,76.87831,2002.825055,306.1288899,0.00026654,0.013965697,63529.26783,acidification,particulate matter formation,human health cancer,human health non-cancer,ecotoxicity,trace_76.87831_29.47308
"3143916",IND,oil-and-gas-refining,annual,co2,2505156.416,30.23010146,T of CO2 per barrel refined,0.946,IOCL Panipat Refinery,29.47308,76.87831,2002.825055,306.1288899,0.00026654,0.013965697,63529.26783,acidification,particulate matter formation,human health cancer,human health non-cancer,ecotoxicity,trace_76.87831_29.47308
"3143916",IND,oil-and-gas-refining,annual,co2,2936805.989,30.23010146,T of CO2 per barrel refined,1.109,IOCL Panipat Refinery,29.47308,76.87831,2347.920704,358.8762568,0.000312466,0.016372049,74475.64274,acidification,particulate matter formation,human health cancer,human health non-cancer,ecotoxicity,trace_76.87831_29.47308
"3143916",IND,oil-and-gas-refining,annual,ch4,147.4798592,0.001518088,T of CH4 per barrel refined,1.109,IOCL Panipat Refinery,29.47308,76.87831,2347.920704,358.8762568,0.000312466,0.016372049,74475.64274,acidification,particulate matter formation,human health cancer,human health non-cancer,ecotoxicity,trace_76.87831_29.47308
"3143916",IND,oil-and-gas-refining,annual,co2e_100yr,2969559.932,0.000297083,,1.109,IOCL Panipat Refinery,29.47308,76.87831,2347.920704,358.8762568,0.000312466,0.016372049,74475.64274,acidification,particulate matter formation,human health cancer,human health non-cancer,ecotoxicity,trace_76.87831_29.47308
"3143916",IND,oil-and-gas-refining,annual,co2e_20yr,2969587.221,0.000297083,,1.109,IOCL Panipat Refinery,29.47308,76.87831,2347.920704,358.8762568,0.000312466,0.016372049,74475.64274,acidification,particulate matter formation,human health cancer,human health non-cancer,ecotoxicity,trace_76.87831_29.47308
"3143917",IND,oil-and-gas-refining,annual,ch4,124.4816116,0.001817165,T of CH4 per barrel refined,0.816,Guru Gobind Singh Refinery,29.923863,74.953334,2092.673325,328.4757667,0.000258257,0.019187691,69468.05565,acidification,particulate matter formation,human health cancer,human health non-cancer,ecotoxicity,trace_74.953334_29.923863
"3143917",IND,oil-and-gas-refining,annual,co2,3723422.963,39.63616118,T of CO2 per barrel refined,1.119,Guru Gobind Singh Refinery,29.923863,74.953334,2869.73217,450.4465477,0.000354154,0.026312532,95263.17925,acidification,particulate matter formation,human health cancer,human health non-cancer,ecotoxicity,trace_74.953334_29.923863
"3143917",IND,oil-and-gas-refining,annual,ch4,170.704563,0.001817165,T of CH4 per barrel refined,1.119,Guru Gobind Singh Refinery,29.923863,74.953334,2869.73217,450.4465477,0.000354154,0.026312532,95263.17925,acidification,particulate matter formation,human health cancer,human health non-cancer,ecotoxicity,trace_74.953334_29.923863
"3143917",IND,oil-and-gas-refining,annual,n2o,32.59884252,0.000347018,T of N2O per barrel refined,1.119,Guru Gobind Singh Refinery,29.923863,74.953334,2869.73217,450.4465477,0.000354154,0.026312532,95263.17925,acidification,particulate matter formation,human health cancer,human health non-cancer,ecotoxicity,trace_74.953334_29.923863
"3143917",IND,oil-and-gas-refining,annual,co2e_100yr,3760975.16,0.000347018,,1.119,Guru Gobind Singh Refinery,29.923863,74.953334,2869.73217,450.4465477,0.000354154,0.026312532,95263.17925,acidification,particulate matter formation,human health cancer,human health non-cancer,ecotoxicity,trace_74.953334_29.923863
