level,id,name0,name1,name,population,pm2023,population_weighted_exposure,normalised_exposure
2,17609,India,Madhya Pradesh,Hoshangabad,1475467,38.77,0.040917735,0.034372377
2,17610,India,Madhya Pradesh,Indore,3856287,38.38,0.105867,0.088932108
2,17611,India,Madhya Pradesh,Jabalpur,2541512,37.53,0.068227117,0.057313245
2,17612,India,Madhya Pradesh,Jhabua,1202189,30.68,0.026382406,0.022162175
2,17613,India,Madhya Pradesh,Katni,1860852,32.38,0.043099771,0.036205366
2,17614,India,Madhya Pradesh,Khargone,2195721,39.6,0.062195452,0.052246429
2,17615,India,Madhya Pradesh,Mandla,1187940,32.64,0.027735177,0.023298552
2,17616,India,Madhya Pradesh,Mandsaur,1562093,36.35,0.040616041,0.034118943
2,17617,India,Madhya Pradesh,Morena,2298258,56.29,0.092537192,0.077734587
2,17618,India,Madhya Pradesh,Narsimhapur,1292288,36.17,0.033434444,0.028086142
2,17619,India,Madhya Pradesh,Neemuch,962375,33.26,0.022895644,0.019233169
2,17620,India,Madhya Pradesh,Panna,1200018,29.84,0.025613732,0.021516461
2,17621,India,Madhya Pradesh,Raisen,1572433,35.8,0.040266276,0.033825128
2,17622,India,Madhya Pradesh,Rajgarh,1811871,34.81,0.045114649,0.037897937
2,17623,India,Madhya Pradesh,Ratlam,1705602,34.13,0.041638998,0.034978264
2,17624,India,Madhya Pradesh,Rewa,2790448,36.53,0.072913827,0.061250251
2,17625,India,Madhya Pradesh,Sagar,2790826,31.58,0.063042173,0.052957705
2,17626,India,Madhya Pradesh,Satna,2601103,32.77,0.060970573,0.051217486
2,17627,India,Madhya Pradesh,Sehore,1519523,37.85,0.041139542,0.034558703
2,17628,India,Madhya Pradesh,Seoni,1616224,34.17,0.039503249,0.033184158
2,17629,India,Madhya Pradesh,Shahdol,1716716,31.58,0.038779023,0.032575782
2,17630,India,Madhya Pradesh,Shajapur,998255,34.8,0.024848892,0.020873968
