country,plant_name,daily_prod,nox_ton_yr,sox_ton_yr,p10_ton_yr,p25_ton_yr,cap_mw,status,coal_type,location,heat_rate,emi_factor,latitude,longitude
India,National Capital Dadri Thermal Power Plant,1839600000,7910.28,13245.12,680.652,349.524,210,operating,unknown,Gautam Buddha Nagar,12183,96100,28.603,77.6078
India,National Capital Dadri Thermal Power Plant,4292400000,18457.32,30905.28,1588.188,815.556,490,operating,unknown,Gautam Budh Nagar,9572,96100,28.603,77.6078
India,National Capital Dadri Thermal Power Plant,4292400000,18457.32,30905.28,1588.188,815.556,490,operating,unknown,Gautam Budh Nagar,9572,96100,28.603,77.6078
India,Obra Thermal Power Station,1752000000,7533.6,12614.4,648.24,332.88,200,operating,bituminous,Sonbhadra,12618,94600,24.4445803,82.9803325
India,Obra Thermal Power Station,1752000000,7533.6,12614.4,648.24,332.88,200,operating,bituminous,Sonbhadra,12618,94600,24.4445803,82.9803325
India,Obra Thermal Power Station,1752000000,7533.6,12614.4,648.24,332.88,200,operating,bituminous,Sonbhadra,12618,94600,24.4445803,82.9803325
India,Obra Thermal Power Station,1752000000,7533.6,12614.4,648.24,332.88,200,operating,bituminous,Sonbhadra,12618,94600,24.4445803,82.9803325
India,Obra Thermal Power Station,5781600000,24860.88,41627.52,2139.192,1098.504,660,construction,unknown,Kanpur,8605,96100,24.4445,82.98
India,Obra Thermal Power Station,5781600000,24860.88,41627.52,2139.192,1098.504,660,construction,unknown,Kanpur,8605,96100,24.4445,82.98
India,Obra Thermal Power Station,1752000000,7533.6,12614.4,648.24,332.88,200,operating,bituminous,Sonbhadra,12618,94600,24.4445803,82.9803325
India,Panipat power station,,,,,,110,operating,,,,,29.398842,76.870271
India,Panipat power station,,,,,,110,operating,,,,,29.398842,76.870271
India,Panipat power station,,,,,,110,operating,,,,,29.398842,76.870271
India,Panipat power station,,,,,,110,operating,,,,,29.398842,76.870271
India,Panipat power station,,,,,,210,operating,,,,,29.398842,76.870271
India,Panipat power station,1839600000,7910.28,13245.12,680.652,349.524,210,operating,bituminous,Panipat,12183,94600,29.39750587,76.87631607
India,Panipat power station,2190000000,9417,15768,810.3,416.1,250,operating,bituminous,Panipat,11313,94600,29.39750587,76.87631607
India,Panipat power station,2190000000,9417,15768,810.3,416.1,250,operating,bituminous,Panipat,11313,94600,29.39750587,76.87631607
India,Panki Thermal Power Station,5781600000,24860.88,41627.52,2139.192,1098.504,660,construction,unknown,Kanpur,8605,96100,26.4766,80.241
India,Panki Thermal Power Station,,,,,,105,operating,,,,,26.4766,80.241
India,Panki Thermal Power Station,,,,,,105,operating,,,,,26.4766,80.241
India,Rajghat Power Station,,,,,,67.5,operating,,New Delhi,,,28.637429,77.254044
India,Rajghat Power Station,,,,,,67.5,operating,,New Delhi,,,28.637429,77.254044
India,Rajiv Gandhi Thermal Power Project,5256000000,22600.8,37843.2,1944.72,998.64,600,operating,unknown,Hisar,9572,96100,29.3469803,75.857538
India,Rajiv Gandhi Thermal Power Project,5256000000,22600.8,37843.2,1944.72,998.64,600,operating,unknown,Hisar,9572,96100,29.3469803,75.857538
India,Rajpura Thermal Power Project,6132000000,26367.6,44150.4,2268.84,1165.08,700,operating,subbituminous,Patiala,8409,96100,30.5589628,76.5775931
India,Rajpura Thermal Power Project,6132000000,26367.6,44150.4,2268.84,1165.08,700,operating,subbituminous,Patiala,8409,96100,30.5589628,76.5775931
