OBJECTID_1,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,VARIETY,MAJORITY,MAJORITY_COUNT,MAJORITY_PERCENT,MINORITY,MINORITY_COUNT,MINORITY_PERCENT,MEDIAN,PCT90
3824,4.000000000000000,0.000277777777778,798,2659,1861,1290.750000000000000,790.602420626195681,5163.000000000000000,4,798,1,25.0000000,798,1,25.0000000,821,2659
3825,4.000000000000000,0.000277777777778,1088,3083,1995,2184.250000000000000,838.192810455923677,8737.000000000000000,4,1088,1,25.0000000,1088,1,25.0000000,1658,3083
3826,4.000000000000000,0.000277777777778,1140,2432,1292,1754.000000000000000,575.934023999277201,7016.000000000000000,4,1140,1,25.0000000,1140,1,25.0000000,1228,2432
3827,4.000000000000000,0.000277777777778,383,1405,1022,832.750000000000000,374.722814224060812,3331.000000000000000,4,383,1,25.0000000,383,1,25.0000000,661,1405
3828,4.000000000000000,0.000277777777778,761,1358,597,1024.250000000000000,215.263065805539441,4097.000000000000000,4,761,1,25.0000000,761,1,25.0000000,956,1358
3829,4.000000000000000,0.000277777777778,419,1512,1093,959.500000000000000,392.214545880185312,3838.000000000000000,4,419,1,25.0000000,419,1,25.0000000,859,1512
3830,4.000000000000000,0.000277777777778,402,1098,696,646.000000000000000,269.963886473728166,2584.000000000000000,4,402,1,25.0000000,402,1,25.0000000,487,1098
3831,4.000000000000000,0.000277777777778,635,3008,2373,1504.000000000000000,912.245855019358260,6016.000000000000000,4,635,1,25.0000000,635,1,25.0000000,952,3008
3832,4.000000000000000,0.000277777777778,856,1376,520,1010.750000000000000,214.167428662717072,4043.000000000000000,4,856,1,25.0000000,856,1,25.0000000,861,1376
3833,4.000000000000000,0.000277777777778,258,2464,2206,1275.750000000000000,816.659162380487828,5103.000000000000000,4,258,1,25.0000000,258,1,25.0000000,870,2464
3834,5.000000000000000,0.000347222222222,658,2171,1513,1289.599999999999909,629.454557533742900,6448.000000000000000,5,658,1,20.0000000,658,1,20.0000000,999,2171
3835,4.000000000000000,0.000277777777778,78,969,891,592.750000000000000,322.984035983204592,2371.000000000000000,4,78,1,25.0000000,78,1,25.0000000,638,969
3836,4.000000000000000,0.000277777777778,544,1308,764,775.500000000000000,312.206261948731594,3102.000000000000000,4,544,1,25.0000000,544,1,25.0000000,564,1308
3837,4.000000000000000,0.000277777777778,174,3955,3781,1634.250000000000000,1412.908414406255815,6537.000000000000000,4,174,1,25.0000000,174,1,25.0000000,984,3955
