GID_3,GID_0,COUNTRY,GID_1,NAME_1,NL_NAME_1,GID_2,NAME_2,NL_NAME_2,NAME_3,VARNAME_3,NL_NAME_3,TYPE_3,ENGTYPE_3,CC_3,HASC_3,OBJECTID,Join_Count,TARGET_FID,id,lat,lon,type,state,schools1km,hosp1km,pop1km,Shape_Length,Shape_Area
PAK.7.6.2_1,PAK,Pakistan,PAK.7_1,Punjab,NA,PAK.7.6_1,Multan,NA,Lodhran,NA,NA,District,District,NA,NA,,,,,,,,,,,,,
PAK.7.6.3_1,PAK,Pakistan,PAK.7_1,Punjab,NA,PAK.7.6_1,Multan,NA,Multan,NA,NA,District,District,NA,NA,,,,,,,,,,,,,
PAK.7.6.4_1,PAK,Pakistan,PAK.7_1,Punjab,NA,PAK.7.6_1,Multan,NA,Pakpattan,NA,NA,District,District,NA,NA,,,,,,,,,,,,,
PAK.7.6.5_1,PAK,Pakistan,PAK.7_1,Punjab,NA,PAK.7.6_1,Multan,NA,Sahiwal,NA,NA,District,District,NA,NA,,,,,,,,,,,,,
PAK.7.6.6_1,PAK,Pakistan,PAK.7_1,Punjab,NA,PAK.7.6_1,Multan,NA,Vehari,NA,NA,District,District,NA,NA,,,,,,,,,,,,,
PAK.7.7.1_1,PAK,Pakistan,PAK.7_1,Punjab,NA,PAK.7.7_1,Rawalpindi,NA,Attok,Attock,NA,District,District,NA,NA,,,,,,,,,,,,,
PAK.7.7.2_1,PAK,Pakistan,PAK.7_1,Punjab,NA,PAK.7.7_1,Rawalpindi,NA,Chakwal,NA,NA,District,District,NA,NA,,,,,,,,,,,,,
PAK.7.7.3_1,PAK,Pakistan,PAK.7_1,Punjab,NA,PAK.7.7_1,Rawalpindi,NA,Jhelum,NA,NA,District,District,NA,NA,,,,,,,,,,,,,
PAK.7.7.4_1,PAK,Pakistan,PAK.7_1,Punjab,NA,PAK.7.7_1,Rawalpindi,NA,Rawalpindi,NA,NA,District,District,NA,NA,,,,,,,,,,,,,
PAK.7.8.1_1,PAK,Pakistan,PAK.7_1,Punjab,NA,PAK.7.8_1,Sargodha,NA,Bhakkar,NA,NA,District,District,NA,NA,,,,,,,,,,,,,
PAK.7.8.2_1,PAK,Pakistan,PAK.7_1,Punjab,NA,PAK.7.8_1,Sargodha,NA,Khushab,NA,NA,District,District,NA,NA,,,,,,,,,,,,,
PAK.7.8.3_1,PAK,Pakistan,PAK.7_1,Punjab,NA,PAK.7.8_1,Sargodha,NA,Mianwali,NA,NA,District,District,NA,NA,,,,,,,,,,,,,
PAK.7.8.4_1,PAK,Pakistan,PAK.7_1,Punjab,NA,PAK.7.8_1,Sargodha,NA,Sargodha,NA,NA,District,District,NA,NA,,,,,,,,,,,,,
PAK.8.1.1_1,PAK,Pakistan,PAK.8_1,Sindh,NA,PAK.8.1_1,Hyderabad,NA,Badin,NA,NA,District,District,NA,NA,,,,,,,,,,,,,
PAK.8.1.2_1,PAK,Pakistan,PAK.8_1,Sindh,NA,PAK.8.1_1,Hyderabad,NA,Dadu,NA,NA,District,District,NA,NA,,,,,,,,,,,,,
PAK.8.1.3_1,PAK,Pakistan,PAK.8_1,Sindh,NA,PAK.8.1_1,Hyderabad,NA,Hyderabad,NA,NA,District,District,NA,NA,,,,,,,,,,,,,
PAK.8.1.4_1,PAK,Pakistan,PAK.8_1,Sindh,NA,PAK.8.1_1,Hyderabad,NA,Jamshoro,NA,NA,District,District,NA,NA,,,,,,,,,,,,,
PAK.8.1.5_1,PAK,Pakistan,PAK.8_1,Sindh,NA,PAK.8.1_1,Hyderabad,NA,Matiari,NA,NA,District,District,NA,NA,,,,,,,,,,,,,
PAK.8.1.6_1,PAK,Pakistan,PAK.8_1,Sindh,NA,PAK.8.1_1,Hyderabad,NA,Tando Allahyar,NA,NA,District,District,NA,NA,,,,,,,,,,,,,
PAK.8.1.7_1,PAK,Pakistan,PAK.8_1,Sindh,NA,PAK.8.1_1,Hyderabad,NA,Tando M. Khan,NA,NA,District,District,NA,NA,,,,,,,,,,,,,
PAK.8.1.8_1,PAK,Pakistan,PAK.8_1,Sindh,NA,PAK.8.1_1,Hyderabad,NA,Thatta,NA,NA,District,District,NA,NA,,,,,,,,,,,,,
PAK.8.2.1_1,PAK,Pakistan,PAK.8_1,Sindh,NA,PAK.8.2_1,Karachi,NA,Karachi Central,NA,NA,District,District,NA,NA,,,,,,,,,,,,,
PAK.8.2.2_1,PAK,Pakistan,PAK.8_1,Sindh,NA,PAK.8.2_1,Karachi,NA,Karachi East,NA,NA,District,District,NA,NA,,,,,,,,,,,,,
PAK.8.2.3_1,PAK,Pakistan,PAK.8_1,Sindh,NA,PAK.8.2_1,Karachi,NA,Karachi South,NA,NA,District,District,NA,NA,,,,,,,,,,,,,
PAK.8.2.4_1,PAK,Pakistan,PAK.8_1,Sindh,NA,PAK.8.2_1,Karachi,NA,Karachi west,NA,NA,District,District,NA,NA,,,,,,,,,,,,,
PAK.8.2.5_1,PAK,Pakistan,PAK.8_1,Sindh,NA,PAK.8.2_1,Karachi,NA,Malir,NA,NA,District,District,NA,NA,,,,,,,,,,,,,
PAK.8.3.1_1,PAK,Pakistan,PAK.8_1,Sindh,NA,PAK.8.3_1,Larkana,NA,Jakobabad,NA,NA,District,District,NA,NA,,,,,,,,,,,,,
PAK.8.3.2_1,PAK,Pakistan,PAK.8_1,Sindh,NA,PAK.8.3_1,Larkana,NA,Kashmore,NA,NA,District,District,NA,NA,,,,,,,,,,,,,
PAK.8.3.3_1,PAK,Pakistan,PAK.8_1,Sindh,NA,PAK.8.3_1,Larkana,NA,Larkana,NA,NA,District,District,NA,NA,,,,,,,,,,,,,
PAK.8.3.4_1,PAK,Pakistan,PAK.8_1,Sindh,NA,PAK.8.3_1,Larkana,NA,Shikarpur,NA,NA,District,District,NA,NA,,,,,,,,,,,,,
PAK.8.4.1_1,PAK,Pakistan,PAK.8_1,Sindh,NA,PAK.8.4_1,Mirpur Khas,NA,Mirphurkhas,NA,NA,District,District,NA,NA,,,,,,,,,,,,,
PAK.8.4.2_1,PAK,Pakistan,PAK.8_1,Sindh,NA,PAK.8.4_1,Mirpur Khas,NA,Mithi,NA,NA,District,District,NA,NA,,,,,,,,,,,,,
PAK.8.4.3_1,PAK,Pakistan,PAK.8_1,Sindh,NA,PAK.8.4_1,Mirpur Khas,NA,Sanghar,NA,NA,District,District,NA,NA,,,,,,,,,,,,,
PAK.8.4.4_1,PAK,Pakistan,PAK.8_1,Sindh,NA,PAK.8.4_1,Mirpur Khas,NA,Umerkot,Umarkot,NA,District,District,NA,NA,,,,,,,,,,,,,
