VALUE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,VARIETY,MAJORITY,MAJORITY_COUNT,MAJORITY_PERCENT,MINORITY,MINORITY_COUNT,MINORITY_PERCENT,MEDIAN,PCT90
82,11460.000000000000000,0.795833333333327,0,19993,19993,447.067539267016230,825.141819833474415,5123394.000000000000000,1611,0,2173,18.9615993,56,1,0.0087000,206,1112
83,10328.000000000000000,0.717222222222216,0,18600,18600,160.644268009295331,568.858924422145378,1659134.000000000000000,905,0,5165,50.0097008,340,1,0.0097000,0,413
84,7742.000000000000000,0.537638888888885,0,31933,31933,927.492637561357014,2455.629037573290589,7180648.000000000000000,2092,0,1036,13.3816004,194,1,0.0129000,144,2377
85,12112.000000000000000,0.841111111111104,0,23663,23663,407.081571994716398,869.447361232220373,4930572.000000000000000,1579,0,1591,13.1357002,555,1,0.0083000,184,926
86,4411.000000000000000,0.306319444444442,0,13961,13961,590.781228746316060,1128.542944658410988,2605936.000000000000000,1298,0,585,13.2622995,3,1,0.0227000,148,1795
87,3851.000000000000000,0.267430555555553,0,15526,15526,578.141002337053919,1099.205824172154735,2226421.000000000000000,1266,0,263,6.8294001,74,1,0.0260000,225,1420
88,3224.000000000000000,0.223888888888887,0,38087,38087,1135.281637717119338,3076.617724331827048,3660148.000000000000000,1215,0,468,14.5160999,33,1,0.0310000,167,2567
89,1614.000000000000000,0.112083333333332,0,13280,13280,501.383519206940150,1114.755098271004044,809233.000000000000000,626,0,371,22.9864006,19,1,0.0620000,84,1494
90,4168.000000000000000,0.289444444444442,0,22886,22886,858.612523992322622,1703.880989787004182,3578697.000000000000000,1619,0,932,22.3607998,11,1,0.0240000,206,2300
91,3523.000000000000000,0.244652777777776,0,20839,20839,395.082600056769763,994.360397892998094,1391876.000000000000000,987,0,479,13.5964003,19,1,0.0284000,110,998
92,2210.000000000000000,0.153472222222221,0,15506,15506,540.619909502262658,918.599320016531237,1194770.000000000000000,883,0,669,30.2714996,12,1,0.0452000,136,1575
93,1376.000000000000000,0.095555555555555,0,11499,11499,548.198401162789764,932.772374662483685,754321.000000000000000,649,0,322,23.4011993,9,1,0.0727000,199,1441
94,4301.000000000000000,0.298680555555553,0,22838,22838,845.470588235293008,1661.572075137399224,3636369.000000000000000,1566,0,727,16.9029999,3,1,0.0233000,248,2198
95,5518.000000000000000,0.383194444444441,0,20241,20241,603.958680681403848,1276.218477856373056,3332644.000000000000000,1566,0,650,11.7796001,1,1,0.0181000,185,1534
96,2518.000000000000000,0.174861111111110,0,51737,51737,3740.468228752977211,6627.186544231321022,9418499.000000000000000,1542,0,190,7.5457001,3,1,0.0397000,611,13717
97,3597.000000000000000,0.249791666666665,0,13896,13896,468.330275229356857,993.080874588357915,1684584.000000000000000,1090,0,758,21.0730991,3,1,0.0278000,99,1269
98,2604.000000000000000,0.180833333333332,0,24465,24465,640.239631336404955,1553.169009647933763,1667184.000000000000000,1014,0,450,17.2810993,15,1,0.0384000,144,1804
99,3431.000000000000000,0.238263888888887,0,10892,10892,388.243952200523609,746.967883244428549,1332065.000000000000000,937,0,303,8.8311996,2,1,0.0291000,144,1007
100,4321.000000000000000,0.300069444444442,0,22884,22884,665.201573709789272,1655.980844997233589,2874336.000000000000000,1332,0,773,17.8894005,83,1,0.0231000,123,1620
101,5616.000000000000000,0.389999999999997,0,17439,17439,582.217592592590790,1021.802600905657414,3269734.000000000000000,1535,0,187,3.3297999,7,1,0.0178000,246,1463
102,3739.000000000000000,0.259652777777776,0,18834,18834,609.332174378177456,937.447632976510249,2278293.000000000000000,1207,0,95,2.5408001,5,1,0.0267000,357,1329
103,5443.000000000000000,0.377986111111108,0,28176,28176,1140.312511482633226,2706.691460441681102,6206721.000000000000000,1694,0,196,3.6010001,19,1,0.0184000,453,1965
104,3935.000000000000000,0.273263888888887,0,21414,21414,533.750698856415511,1049.305957398831197,2100309.000000000000000,1203,0,248,6.3024001,15,1,0.0254000,192,1418
105,4518.000000000000000,0.313749999999997,0,20368,20368,607.355688357678446,1273.607812469852433,2744033.000000000000000,1373,0,522,11.5537996,93,1,0.0221000,119,1872
106,5942.000000000000000,0.412638888888886,0,20474,20474,524.693705822955394,1056.252297008219784,3117730.000000000000000,1370,0,407,6.8495002,292,1,0.0168000,186,1376
107,8933.000000000000000,0.620347222222217,0,10486,10486,315.810701891859537,756.736819659116691,2821137.000000000000000,1432,0,2613,29.2511005,9,1,0.0112000,62,784
108,9518.000000000000000,0.660972222222217,0,11618,11618,309.583315822651230,771.850750569506431,2946614.000000000000000,1371,0,3337,35.0598984,7,1,0.0105000,34,802
109,4820.000000000000000,0.334722222222220,0,16883,16883,349.167012448132766,923.893051299565855,1682985.000000000000000,1085,0,2144,44.4813004,9,1,0.0207000,10,1052
110,7296.000000000000000,0.506666666666663,0,35569,35569,786.074150219297621,2103.450645876630915,5735197.000000000000000,1850,0,1456,19.9561005,9,1,0.0137000,227,1633
