country,plant_name,daily_prod,cap_mw,start_year,latitude,longitude,status,coal_type,location,heat_rate,emi_factor
Tanzania,Mchuchuma power station,,150,2026,-9.25,34.25,pre-permit,unknown,Njombe region,10326,96100
Zambia,Maamba power station,,150,2016,-17.3527223,27.1859398,operating,unknown,Sinazongwe district,10442,96100
Zambia,Maamba power station,,150,2016,-17.3527223,27.1859398,operating,unknown,Sinazongwe district,10442,96100
Zambia,Maamba power station,,150,,-17.3527223,27.1859398,pre-permit,unknown,Sinazongwe district,10442,96100
Zambia,Maamba power station,,150,,-17.3527223,27.1859398,pre-permit,unknown,Sinazongwe district,10442,96100
Zambia,Ndola Cement Plant power station,,30,2015,-13.0270112,28.7792015,operating,unknown,,10442,96100
Zimbabwe,Beifa power station,,270,,-18.410819,26.784252,permitted,unknown,Hwange,10326,96100
Zimbabwe,Bulawayo power station,,30,2022,-20.158611,28.575278,permitted,unknown,Bulawayo,10442,96100
Zimbabwe,Bulawayo power station,,30,2022,-20.158611,28.575278,permitted,unknown,Bulawayo,10442,96100
Zimbabwe,Bulawayo power station,,30,2022,-20.158611,28.575278,permitted,unknown,Bulawayo,10442,96100
Zimbabwe,Harare power station,,60,1955,-17.845,31.031667,permitted,unknown,,10442,96100
Zimbabwe,Harare power station,,30,1956,-17.845,31.031667,operating,unknown,,12618,96100
Zimbabwe,Hwange power station,,120,1984,-18.3831971,26.4696382,operating,bituminous,Hwange,12618,94600
Zimbabwe,Hwange power station,,120,1986,-18.3831971,26.4696382,operating,bituminous,Hwange,12618,94600
Zimbabwe,Hwange power station,,120,1985,-18.3831971,26.4696382,operating,bituminous,Hwange,12618,94600
Zimbabwe,Hwange power station,,120,1983,-18.3831971,26.4696382,operating,bituminous,Hwange,12618,94600
Zimbabwe,Hwange power station,,220,1986,-18.3831971,26.4696382,operating,bituminous,Hwange,12618,94600
Zimbabwe,Hwange power station,,220,1987,-18.3831971,26.4696382,operating,bituminous,Hwange,12618,94600
Zimbabwe,Hwange power station,,335,2023,-18.3835,26.47,operating,bituminous,,9572,94600
Zimbabwe,Hwange power station,,335,2023,-18.3835,26.47,construction,bituminous,,9572,94600
Zimbabwe,Sengwa power station,,350,,-18.22,28.93,permitted,lignite,,9466,101000
Zimbabwe,Sengwa power station,,350,,-18.22,28.93,permitted,lignite,,9466,101000
Zimbabwe,Zambezi Gas and Coal Mine power station,,150,,-18.4212409,26.532968,pre-permit,unknown,,10326,96100
Zimbabwe,Zambezi Gas and Coal Mine power station,,600,,-18.4212409,26.532968,pre-permit,unknown,,8605,96100
Zimbabwe,ZhongXin power station,,50,2022,-18.0827745,26.700299,operating,unknown,,10326,96100
Zimbabwe,ZhongXin power station,,135,,-18.0827745,26.700299,construction,unknown,,10326,96100
Zimbabwe,ZhongXin power station,,135,,-18.0827745,26.700299,construction,unknown,,10326,96100
